Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments
scene_imig_4,,,1. Simple reaction speed test 2. Image rotation test 3. Response inhibition test,,1. 간단한 반응속도 검사 2. 심상회전 검사 3. 반응억제 검사,
scene_orientation_0,,,Well done! Please wait until we finish calculating your result. ,,잘 하셨습니다! 결과 계산 중이니 잠시만 기다려주세요.,
scene_orientation_1,,,The orientation test consists of one practice problem followed by actual problems. Problems on the concept of date and time are given. ,,"지남력 검사는 한 번의 연습문제 진행 후 실전 문제들로 구성되어 있습니다. 날짜, 시간 개념의 문제가 출제됩니다.",
scene_orientation_2,,,"<Practice problem>, <Problem {0}>",,"<연습문제>, <문제 {0}>",
scene_orientation_3,,,Well done! Now is the real problem. ,,잘 하셨습니다! 이제 실전 검사입니다.,
scene_orientation_4,,,"Correct! Today is {} month, {} day. ",,맞아요! 오늘은 {0}월 {1}일 입니다.,
scene_orientation_5,,,It is a practice problem. What month and day is today? ,,연습문제입니다. 오늘은 몇 월 몇 일인가요?,
scene_ox_quiz_0,,,Did you have fun learning about dementia? Thank you for your effort!,,치매에 대해 알아본 시간 즐거우셨나요? 수고하셨습니다!,
scene_ox_quiz_1,,,"Quiz result, Incorrect answers explanation",,"퀴즈 결과, 틀린 문제 해설",
scene_ox_quiz_2,,,Dementia can be prevented!,,치매는 예방할 수 있답니다!,
scene_ox_quiz_3,,,OX Quiz guide,,OX 퀴즈 방법,
scene_ox_quiz_4,,,"Read the question, Click O if correct, click X if wrong. ",,"문제를 읽고, 맞으면 O를 틀리면 X를 눌러주세요.",
scene_know_dementia_0,,,Shall we learn about the types of dementia?,,치매 종류에 대해 알아볼까요?,
scene_know_dementia_1,,,Dementia can be categorized into five types! Let's find out together. Learn more. ,,"치매는 크게 다섯 가지 종류로 구분할 수 있어요!, 같이 알아볼까요?, 알아보기",
scene_know_dementia_2,,,"Alzheimer's dementia, which accounts for 55~70% of all dementia, is characterized by memory loss due to degeneration of brain cells. It develops very slowly and worsens gradually. ",,"알츠하이머 치매, 전체 치매의 55~70%를 차지하며 뇌세포의 퇴화로 인한 기억력 저하가 가장 큰 특징입니다. 매우 서서히 발병하며 점차적으로 악화됩니다.",
scene_know_dementia_3,,,"Vascular dementia, which accounts for 15~20% of all dementia, is the second most common dementia. It mainly occurs in people with high blood pressure or diabetes, and may also present with symptoms of stroke. ",,"혈관성 치매, 전체 치매의 15~20%를 차지하며 두 번째로 많은 치매입니다. 고혈압이나 당뇨가 있는 경우에 주로 발병하며 뇌졸중 증상을 함께 보이기도 합니다.",
scene_know_dementia_4,,,"Dementia with Lewy Body, which accouns for 10~25%of all dementia, can display symptoms of Parkinson's disease. Early detection is essential because it responds well to medicine. ",,"루이체 치매, 전체 치매의 10~25%를 차지하며 파킨슨병 증상을 함께 보이는 치매입니다. 약물 치료에 대한 반응이 좋아 조기 발견이 중요합니다.",
scene_know_dementia_5,,,"Alcoholic dementia, which can occur with continuous excessive drinking, can occur as early as the 50s or as late as 70s depending on the amount of alcohol consumed. ",,"알코올성 치매, 장기간 과음을 지속할 경우 치매로 이어질 수 있습니다. 알코올 섭취량에 따라 이르면 50대에서 늦으면 70대 이후에 발병하기도 합니다.",
scene_know_dementia_6,,,"Reversible dementia, which accounts for 5~10% of all dementia, is dementia that occurs due to a curable condition. Typical causes include depression, alcoholism, and brain tumors. ",,"가역성 치매, 전체 지매의 5~10%를 차지하며 완치 가능한 원인에 의해 발생한 치매를 의미합니다. 대표적인 원인은 우울증·알코올 중독·뇌종양 등이 있습니다.",
scene_know_dementia_7,,,"Did you have fun? Shall we go train our brains? Cognitive training, next time",,"즐거우셨나요! 그럼 이제 두뇌를 훈련하러 가볼까요?, 인지 훈련하기, 다음에 하기",
scene_know_dementia_8,,,"Stop, play audio",,"멈춤, 음성듣기",
scene_know_dementia_9,,,"Hello, I am Dr. Kim. What is dementia? How is dementia diagnosed? ",,안녕하세요 김박사입니다. 치매란 무엇일까요? 치매는 어떻게 진단될까요?,
scene_know_dementia_10,,,Shall we find out about the definition of dementia and its diagnostic criteria? ,,치매의 정의와 진단 기준에 대해서 알아볼까요?,
scene_know_dementia_11,,,Definition of dementia,,치매의 정의,
scene_know_dementia_12,,,"Dementia is a condition in which a person who was living a normal life experiences a decline in cognitive functions in various areas such as memory, language, and judgment due to various causes, causing significant disruption in daily life. Dementia is not a single disease name, but a group of symptoms that appear together under certain conditions.",,"치매는 정상적으로 생활해오던 사람이 후천적으로 다양한 원인으로 인해 기억,언어, 판단력 등의 여러 영역의 인지기능이 떨어져서 일상 생활에 상당한 지장이 나타나는 상태를 말합니다.
치매는 어떤 하나의 질병 명이 아니라, 특정한 조건에서 여러 증상들이 함께 나타나는 증상들의 묶음입니다.",
scene_know_dementia_13,,,"Dementia's main early symptom, memory loss",,"치매의 대표적인 초기증상, 기억력 감퇴",
scene_know_dementia_14,,,Memory loss due to aging is a normal change. Dementia is different from this normal change. Memory loss that occurs with age is usually limited to trivial matters. Let's compare the differences between memory loss in normal elderly people and elderly people with dementia. ,,나이가 듦에 따른 기억력의 저하는 정상적인 변화입니다. 치매는 이러한 정상적인 변화와는 다릅니다. 나이가 들면서 생기는 기억력 저하는 대개 사소한 일들에 국한되어 있습니다. 간단하게 정상 노인과 치매 노인의 기억력 차이를 비교해봅시다.,
scene_know_dementia_15,,,"Memory loss in the normal elderly, caused by the natural aging process of the brain, forgetting part of what is experienced, does not progress even with great loss of memory, aware of one's memory loss, does not interfere with daily life",,"정상 노인의 기억력 저하, 뇌의 자연적인 노화현상이 원인, 경험한 것의 일부를 잊어버린다, 잊어버리는 것이 많아져도 진행 되지 않는다, 잊어버린 사실을 스스로 안다, 일상생활에 지장이 없다.",
scene_know_dementia_16,,,"Memory loss in the elderly with dementia, caused by the disease or trauma of the brain, completely forgets what is experienced, judgment impairment with progressive memory loss, not aware of memory loss, interferes with daily life",,"치매 노인의 기억력 저하, 뇌의 질병이나 손상이 원인이다, 경험한 것의 전체를 잊어버린다, 기억장애가 점차 심해지며 판단력도 저하된다, 잊어버린 사실 자체를 모른다, 일상생활에 지장을 받는다",
scene_know_dementia_17,,,Diagnostic criteria of dementia,,치매의 진단기준,
scene_know_dementia_18,,,"The guideline of DSM-V(diagnostic and statistical manual of mental disorder, 5th edition)of current American Psychiatric Association is commonly used in the diagnosis of dementia. The DSM-V is the Diagnostic Statistical Manual of Mental Disorders, created for use by mental health professionals. ",,"치매 진단에는 현재 미국 정신과 학회의 DSM-V(diagnostic and statistical manual of mental disorder, 5th edition)진단기준이 가장 널리 사용되고 있습니다. DSM-V는 정신질환 진단 및 통계 편람으로써 정신건강 분야의 전문가들을 위해 만들어졌습니다.",
scene_know_dementia_19,,,"Diagnostic criteria are as follows: A. Various cognitive deficits occur, which are manifested by two of the following, including memory impairment: 1. Memory impairment (impaired ability to learn new information, impaired ability to recall previously learned information) 2. Presence of one or more of the following cognitive impairments a) Aphasia (language impairment) b) Apraxia (impaired ability to perform motor activities despite normal motor function c) Agnosia (inability to recognize objects despite normal sensory function) Executive functions (e.g., planning, organizing, arranging, summarizing)",,"진단 기준은 다음과 같습니다. A. 여러가지  인지 결핍이 발생하는데, 다음 중 기억장애를 포함한 두 가지로 나타난다. 1. 기억장애 (새로운 정보를 학습할 능력 장애, 과거 학습한 정보를 회상하는 능력의 장애) 2. 다음의 인지장애 중 하나 이상 존재 a) 실어증 (언어장애)
b) 실행증 (운동기능이 정상인데도 운동 활동 수행능력의 손상 c)실인증 (감각기능이 정상인데도 대상을 인지하지 못함) 실행기능(예: 기획, 구성, 배열, 요약)",
scene_know_dementia_20,,,"B. The above disability cause serious impairment in social and occupational functioning and are significantly deteriorated compared to the premorbid level of functioning. C. The disability does not appear during the course of delirium. In other words, if it includes memory impairment and one or more of the cognitive impairments mentioned above, and criteria B and C are met, it is recommended that one receives treatment and counseling from a professional or medical institution. ",,"B. 위의 장애가 사회적 및 직업적 기능의 심각한 장해를 초래하고 병전의 기능 수준보다 상당히 감퇴되어 있음 C. 장애가 섬망의 경과 중에는 나타난 것이 아님 즉, 기억장애를 포함하고 앞서 언급된 인지장애 중 하나이상이 존재하고 B와 C를 충족시킨다면 전문의, 의료기관의 진료 및 상담을 받기를 권장합니다.",
scene_brain_report_0,,,"Registered email address, Change email address, Send report, Register, Email address",,"등록된 이메일 주소, 이메일 변경하기, 보고서 전송하기, 등록하기, 이메일 주소",
scene_brain_report_1,,,What is paid member? ,,유료 회원이란?,
scene_brain_report_2,,,You can enjoy all of the Smartcare's cognitive training games designed by the country's best researchers.,,국내 최고의 연구진들이 설계한 스마케어의 모든 인지 훈련 게임을 즐길 수 있습니다.,
scene_brain_report_3,,,The Smartcare provides systematic training to complement any areas of weakness by thorough analysis of your cognitive status. ,,회원님의 인지 상태를 상세 분석하여 부족한 영역을 보완할 수 있는 체계적인 훈련을 제공합니다.,
scene_brain_report_4,,,What is my brain age? Various statistical data through detailed analysis of each game is provided. ,,나의 두뇌 나이는 어느 수준인가? 각 게임별 상세분석을 통해 다양한 통계 자료를 제공합니다.,
scene_brain_report_5,,,You must complete the digital brain screening and cognitive training in each of the five areas at least once to complete the brain cognitive analysis report. ,,디지털 브레인 스크리닝과 5가지 영역의 인지 훈련을 최소 한번씩은 수행하셔야 두뇌인지 분석 보고서가 완성됩니다,
scene_brain_report_6,,,"Preview, Download",,"미리보기, 받아보기",
scene_memory,,,Remember numbers and words in order,,"숫자와 한글을 순서대로 기억하기, ",
scene_attention,,,Determine whether the picture above matches the one below.,,"위에 그림이 아래와 일치하는지 판단하기, ",
scene_language,,,Look at the picture and guess the correct name,,그림을 보고 알맞은 이름 맞추기,
scene_calculation,,,Add and subtract looking at numbers,,숫자를 보고 더하기와 빼기,
scene_perceptivity,,,Find a leaf that is different in shape ,,모양이 다른 한 가지 나뭇잎 찾기,
scene_gostop_0,,,Choosing a card that I can possess exclusively using the card that I have ,,내가 가진 패로 독점할 수 있는 패 고르기,
scene_gostop_1,,,"My cards, Cards on the floor",,"내가 가진 패, 바닥에 깔린 패",
scene_compare,,,Choosing an animal that is bigger in size in real life,,현실에서 실제로 크기가 더 큰 동물 선택하기,
scene_black_stone,,,Remembering the location of the black stone,,검은돌의 위치 기억하기,
scene_hand,,,Guessing whether the hand is left or right by looking at the shape of the hand,,손의 모양을 보고 왼손인지 오른손인지 맞추기,
scene_jewel,,,Selecting the identical jewel by looking at the passing jewels. ,,지나가는 보석을 보고 똑같은 보석 선택하기,
scene_direction_0,,,Choosing the picture that is looking in the other direction. ,,바라보는 방향이 다른 그림 찾기,
scene_direction_1,,,Which picture is the one that is facing a different direction? ,,혼자 방향이 다른 그림은 무엇인가요?,
scene_word,,,Putting the consonants and vowels in order by looking at the word,,단어를 보고 자음과 모음 순서대로 조합하기,
scene_order_0,,,Calculating the cost of the food by looking at the bill. ,,계산서 보고 음식 값 계산하기,
scene_order_1,,,"Bill, Discount",,"계 산 서, 할인",
scene_opt_0,,,Finding the location of an object by referring to the direction the doctor is looking. ,,의사가 바라보고 있는 방향을 참고해서 사물의 위치 찾기,
scene_opt_1,,,Doctor,,닥터,
scene_matching_0,,,"If you don't remember the picture that you first saw, please click 'View Hint' below. ",,처음 봤던 그림이 생각나지 않을 땐 아래의 ‘힌트보기'를 눌러주세요,
scene_matching_1,,,Finding the matching pictures,,서로 같은 그림 짝 찾기,
scene_proverb_0,,,Filling in the missing word and sentenses in proverb,,속담의 빠진 단어와 문장 채우기,
scene_proverb_1,,,Interpretation of the meaning of proverb,,속담 뜻 풀이,
scene_push_the_button,,,Pressing the button when an object appears ,,대상 물체가 나타날 때만 버튼 누르기,
scene_who_is_it_0,,,Solving problems while remembering the character information,,인물정보를 기억한 상태로 문제 맞추기,
scene_who_is_it_1,,,Please look carefully and remember. ,,잘 보고 기억해주세요.,
scene_where_is_it,,,Finding items that belong to a specific place,,특정 장소에서 있을 만한 물건 찾기,
